,Location ID,City,City Area,Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,full_location
27,LOC_3,Chennai,Agaramthen Road,Agaramthen Road,Naturals Salon,"No 2a, Velachery Rd Selaiyur, Venkatesan St, Jayasamy Nagar, Tambaram, Kanchipuram, Tamil Nadu 600059, India",12.9226168,80.1293238,4.7,1683,ChIJu9KttRZfUjoRJ1T4OyKTcWk,https://www.google.com/maps/place/?q=place_id:ChIJu9KttRZfUjoRJ1T4OyKTcWk,Chennai Agaramthen RoadNaturals Salon
28,LOC_4,Chennai,Agaramthen Road,Agaramthen Road,Naturals Salon,"No.158, 2, Madambakkam Main Rd, above Union Bank, Madambakkam, Chennai, Tamil Nadu 600073, India",12.9110306,80.15630519999999,4.7,1487,ChIJZxXjUnpmUjoRvMbx9cGH6Xo,https://www.google.com/maps/place/?q=place_id:ChIJZxXjUnpmUjoRvMbx9cGH6Xo,Chennai Agaramthen RoadNaturals Salon
29,LOC_5,Chennai,Agaramthen Road,Agaramthen Road,Naturals Salon,"66/68, Siruvallur High Rd, above Sbi Bank, Jagannathan Colony, Perambur, Chennai, Tamil Nadu 600011, India",13.1081114,80.23743069999999,4.8,2080,ChIJRZP4735lUjoR29LUdELYiMQ,https://www.google.com/maps/place/?q=place_id:ChIJRZP4735lUjoR29LUdELYiMQ,Chennai Agaramthen RoadNaturals Salon
30,LOC_6,Chennai,Agaramthen Road,Agaramthen Road,Naturals Salon,"2nd Floor, New No 55, Old No 36, 70 Feet Rd, above Nilgiris Supermarket, Jawahar Nagar, Perambur, Chennai, Tamil Nadu 600082, India",13.1139566,80.2275116,4.6,1147,ChIJwfUm6U1kUjoRhlTE1jH8JOM,https://www.google.com/maps/place/?q=place_id:ChIJwfUm6U1kUjoRhlTE1jH8JOM,Chennai Agaramthen RoadNaturals Salon
31,LOC_7,Chennai,Agaramthen Road,Agaramthen Road,Naturals Salon,"Amaanath Tower 8th Street Corner, W Near, Mudichur Rd, Krishna Nagar, Tambaram, Chennai, Tamil Nadu 600045, India",12.9222974,80.0957184,4.7,1215,ChIJtzsp1wD1UjoR5sZ5YfZ4htc,https://www.google.com/maps/place/?q=place_id:ChIJtzsp1wD1UjoR5sZ5YfZ4htc,Chennai Agaramthen RoadNaturals Salon
32,LOC_8,Chennai,Agaramthen Road,Agaramthen Road,Naturals Salon,"1st Floor, Mkdk Illam, Madavaram Red Hills Rd, Roja Nagar, Madhavaram, Chennai, Tamil Nadu 600060, India",13.1456681,80.23208850000002,4.7,1460,ChIJrQMlKB5lUjoRyXuB21g4aRg,https://www.google.com/maps/place/?q=place_id:ChIJrQMlKB5lUjoRyXuB21g4aRg,Chennai Agaramthen RoadNaturals Salon
33,LOC_9,Chennai,Agaramthen Road,Agaramthen Road,Naturals Salon,"1st Floor, Nawab Habibulla Nagar, Plot No 26, Mudichur Rd, next to City Union Bank, Mudichur, Chennai, Tamil Nadu 600048, India",12.913612,80.07093429999999,4.9,917,ChIJIZ-Imdv1UjoRZmD64mN4OWo,https://www.google.com/maps/place/?q=place_id:ChIJIZ-Imdv1UjoRZmD64mN4OWo,Chennai Agaramthen RoadNaturals Salon
34,LOC_10,Chennai,Agaramthen Road,Agaramthen Road,Naturals Salon,"G2, Radhae Shyam Apartments, Vanagaram-Ambattur Rd, near Nilgiris Super Market, Vanagaram, Chennai, Tamil Nadu 600095, India",13.0633498,80.1523394,4.3,617,ChIJBSeDtHFhUjoRJ37Y8vAsf40,https://www.google.com/maps/place/?q=place_id:ChIJBSeDtHFhUjoRJ37Y8vAsf40,Chennai Agaramthen RoadNaturals Salon
36,LOC_1,Chennai,Ambattur,Ambattur,Naturals Salon,"No 49, JS Tower, Ambattur Red Hills Rd, above Nilgiris, Rajiv Gandhi Nagar, Pudur, Ambattur, Chennai, Tamil Nadu 600053, India",13.1261206,80.15331259999999,4.7,1490,ChIJZds2LQZjUjoRpoG3BDXNQYA,https://www.google.com/maps/place/?q=place_id:ChIJZds2LQZjUjoRpoG3BDXNQYA,Chennai AmbatturNaturals Salon
37,LOC_2,Chennai,Ambattur,Ambattur,Naturals Salon,"174/11, S Park St, Venkatapuram, Ambattur, Chennai, Tamil Nadu 600053, India",13.1176221,80.1542068,4.6,1773,ChIJgaWoEqljUjoRPzkVxhnVIDs,https://www.google.com/maps/place/?q=place_id:ChIJgaWoEqljUjoRPzkVxhnVIDs,Chennai AmbatturNaturals Salon
